ResourceID,Geometric Place Expression,Archaeological Assessor,GridID,Place Name,Name Type,Archaeological Assessment Date,Heritage Place Function Type,Heritage Place Function Certainty,Heritage Place Function Sub-type,Heritage Place Function Sub-type Certainty,Site Feature Interpretation Type,Site Feature Interpretation Sub-type,Site Feature Interpretation Certainty,Site Feature Interpretation Type,Site Feature Form Type,Site Feature Shape Type,Diameter,Length,Width,Central Mound Diameter,Archaeological Assessment Activity Type,Archaeological Assessment Acitivty Sub-type,Archaeological Assessment Acitivty Sub-type - ORIGINAL,Overall Condition Assessment,Disturbance Cause Category,Disturbance Cause Type,Disturbance Cause Certainty,Damage Effect,Damage Effect Certainty,Threat Driver Type,Threat Type,Threat Driver Certainty,Remarks,Remark Type,Cultural Period Type,Cultural Period Sub-type,30m STRN Elevation,Aimag,Soum,Bag,NCCH_Reg
K4-011,POINT (88.56891827 49.42039311),,K4,K4-011,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Winter Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2449,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-012,POINT (88.56019166 49.41869544),,K4,K4-012,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2464,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-013,POINT (88.55754729 49.41883229),,K4,K4-013,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Winter Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2478,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-014,POINT (88.55925673 49.42532261),,K4,K4-014,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2482,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-015,POINT (88.5595872 49.42700196),,K4,K4-015,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2506,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-016,POINT (88.62640665 49.4280406),,K4,K4-016,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2580,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-017,POINT (88.58241892 49.41613651),,K4,K4-017,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2435,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-018,POINT (88.59353897 49.4165417),,K4,K4-018,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2444,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-019,POINT (88.71925606 49.42629261),,K4,K4-019,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2586,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-020,POINT (88.67854578 49.41529785),,K4,K4-020,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2507,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-021,POINT (88.6845918 49.4174396),,K4,K4-021,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2504,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-022,POINT (88.69158488 49.41409432),,K4,K4-022,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2446,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-023,POINT (88.61014257 49.41344657),,K4,K4-023,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2459,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-024,POINT (88.5661448 49.41668524),,K4,K4-024,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2450,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-025,POINT (88.55988194 49.41713169),,K4,K4-025,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Winter Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2466,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-026,POINT (88.58980017 49.40840648),,K4,K4-026,MAPSS RS Number,2021-10-28,Funerary,High,Burial,High,,,,,Mound,,9,,,,Archaeological Assessment (Image Interpretation),,,,,,,,,,,,,,,,2419,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-027,POINT (88.59020786 49.40825378),,K4,K4-027,MAPSS RS Number,2021-10-28,Funerary,High,Burial,High,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),,,,,,,,,,,,,,,,2416,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-028,POINT (88.58685031 49.4094145),,K4,K4-028,MAPSS RS Number,2021-10-28,Funerary,Medium,Burial,Medium,,,,,Mound,,7,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,,,,,2426,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-029,POINT (88.62069174 49.40736105),,K4,K4-029,MAPSS RS Number,2021-10-28,Funerary,Medium,Burial,Medium,,,,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,,,,,2433,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-030,POINT (88.61995081 49.40968553),,K4,K4-030,MAPSS RS Number,2021-10-28,Funerary,Medium,Burial,Medium,,,,,Mound,,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'could be also a natural structure like a part of the rocks',General Description,,,2475,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-031,POINT (88.6196276 49.40958388),,K4,K4-031,MAPSS RS Number,2021-10-28,Funerary,Low,Burial,Low,,,,,Mound,,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'certainty is low',General Description,,,2472,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-032,POINT (88.6196209 49.40970342),,K4,K4-032,MAPSS RS Number,2021-10-28,Funerary,Low,Burial,Low,,,,,Mound,,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'certainty is low',General Description,,,2472,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-033,POINT (88.61990829 49.41010034),,K4,K4-033,MAPSS RS Number,2021-10-28,Funerary,Medium,Burial,Medium,,,,,Mound,,9,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,,,,,2474,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-034,POINT (88.76214796 49.4136589),,K4,K4-034,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2583,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-035,POINT (88.69062294 49.4183118),,K4,K4-035,MAPSS RS Number,2021-10-28,Funerary,Low,Burial,Low,,,,,Mound,,8,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,,,,,2505,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-036,POINT (88.69085361 49.41845051),,K4,K4-036,MAPSS RS Number,2021-10-28,Funerary,Low,Burial,Low,,,,,Mound,,6,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,,,,,2503,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-037,POINT (88.59341171 49.41022284),,K4,K4-037,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A2',General Description,,,2415,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-038,POINT (88.58958152 49.41144094),,K4,K4-038,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2422,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-039,POINT (88.63637173 49.41608196),,K4,K4-039,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Winter Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2747,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-040,POINT (88.71454524 49.42225399),,K4,K4-040,MAPSS RS Number,2021-10-28,Funerary,Medium,Burial,Medium,,,,,Mound,,10,,,,Archaeological Assessment (Image Interpretation),Esri,Esri,,,,,,,,,,,,,,2632,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-041,POINT (88.70949093 49.42467373),,K4,K4-041,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2538,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-042,POINT (88.54606729 49.42623192),,K4,K4-042,MAPSS RS Number,2021-10-28,Funerary,Medium,Burial,Medium,,,,,Mound,,11,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,,,,,2482,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-043,POINT (88.6053321 49.42838646),,K4,K4-043,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2580,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-044,POINT (88.61023066 49.4368943),,K4,K4-044,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2637,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-045,POINT (88.61254114 49.44285557),,K4,K4-045,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2705,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-046,POINT (88.6302452 49.45108197),,K4,K4-046,MAPSS RS Number,2021-10-28,Funerary,Low,Burial,Low,,,,,Mound,,14,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'could be also a natural structure as well',General Description,,,3122,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-047,POINT (88.64537316 49.46155157),,K4,K4-047,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2697,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-048,POINT (88.6471166 49.46264986),,K4,K4-048,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2705,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-049,POINT (88.64650756 49.46463502),,K4,K4-049,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2702,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-050,POINT (88.58095575 49.46534342),,K4,K4-050,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2650,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-051,POINT (88.64144108 49.47157104),,K4,K4-051,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2736,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-052,POINT (88.56229198 49.48441905),,K4,K4-052,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,3045,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-053,POINT (88.62978359 49.48331846),,K4,K4-053,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2848,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-054,POINT (88.5570026 49.41963685),,K4,K4-054,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2475,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-055,POINT (88.55125299 49.42188666),,K4,K4-055,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2485,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-056,POINT (88.55305007 49.42032335),,K4,K4-056,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2520,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-057,POINT (88.62365007 49.42648448),,K4,K4-057,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2559,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-058,POINT (88.61954629 49.42655078),,K4,K4-058,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A1',General Description,,,2567,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-059,POINT (88.64486844 49.45498314),,K4,K4-059,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2665,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-060,POINT (88.64535822 49.45846702),,K4,K4-060,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2681,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-061,POINT (88.64569094 49.46986694),,K4,K4-061,MAPSS RS Number,2021-10-28,Architectural/Settlement,High,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,Maxar,,,,,,,,,,'A0',General Description,,,2737,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-062,POINT (88.75798846 49.41244289),,K4,K4-062,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A2',General Description,,,2538,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-063,POINT (88.69003159 49.40962588),,K4,K4-063,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A2',General Description,,,2431,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-064,POINT (88.61479597 49.40911194),,K4,K4-064,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A1',General Description,,,2426,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-065,POINT (88.56206838 49.42490335),,K4,K4-065,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Bing,Bing,,,,,,,,,,'A2',General Description,,,2478,Bayan-Ulgii,Bajannuur,Bor burgas,
K4-066,POINT (88.7494817 49.40678596),,K4,K4-066,MAPSS RS Number,2021-10-28,Architectural/Settlement,Definite,Settlement/Habitation,Medium,Campsite,Winter Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'A1',General Description,,,2494,Bayan-Ulgii,Bajannuur,Bor burgas,
L4-001,POINT (88.64454539 49.39922064),,L4,L4-001,MAPSS RS Number,2021-12-07,Funerary,High,Burial,High,Khirigsuur,Circle Khirigsuur,High,,,,25,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,"'in this region according NCCH should be one more Khirigsuur, 1 Kurgan stelae and 6 Turkic burials'",General Description,,,2370,Bayan-Ulgii,Bajannuur,Bor burgas,
L4-002,POINT (88.71032005 49.34773973),,L4,L4-002,MAPSS RS Number,2021-12-07,Funerary,Medium,Burial,Medium,Khirigsuur,Circle Khirigsuur,Medium,,,,13,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,'here also could be the remains of the camp site',General Description,,,2258,Bayan-Ulgii,Ulaankhus,Ix ojgor,
L4-003,POINT (88.71286607 49.35895969),,L4,L4-003,MAPSS RS Number,2021-12-07,Funerary,Medium,Burial,Medium,Khirigsuur,Circle Khirigsuur,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,,,,,2269,Bayan-Ulgii,Bajannuur,Bor burgas,
L4-004,POINT (88.71200141 49.35871151),,L4,L4-004,MAPSS RS Number,2021-12-07,Funerary,Low,Burial,Low,,,,,Mound,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,Google Earth,,,,,,,,,,"'interpretation is not clear, could be a KH or a Mound'",General Description,,,2267,Bayan-Ulgii,Bajannuur,Bor burgas,
L4-005,POINT (88.70654152 49.35795007),,L4,L4-005,MAPSS RS Number,2021-12-07,Architectural/Settlement,Definite,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),,,,,,,,,,,,'A1',General Description,,,2276,Bayan-Ulgii,Bajannuur,Bor burgas,
L4-006,POINT (88.70770911 49.35532867),,L4,L4-006,MAPSS RS Number,2021-12-07,Architectural/Settlement,Definite,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),,,,,,,,,,,,'A1',General Description,,,2273,Bayan-Ulgii,Bajannuur,Bor burgas,
L4-007,POINT (88.70385322 49.34229933),,L4,L4-007,MAPSS RS Number,2021-12-07,Architectural/Settlement,Definite,Settlement/Habitation,High,Campsite,Winter Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),,,,,,,,,,,,'A1',General Description,,,2282,Bayan-Ulgii,Ulaankhus,Ix ojgor,
L4-008,POINT (88.70845724 49.3525414),,L4,L4-008,MAPSS RS Number,2021-12-07,Architectural/Settlement,Medium,Settlement/Habitation,Medium,Campsite,Summer Camp,Medium,,,,,,,,Archaeological Assessment (Image Interpretation),,,,,,,,,,,,'A0',General Description,,,2272,Bayan-Ulgii,Ulaankhus,Ix ojgor,
L4-009,POINT (88.70748036 49.35046013),,L4,L4-009,MAPSS RS Number,2021-12-07,Architectural/Settlement,Definite,Settlement/Habitation,High,Campsite,Summer Camp,High,,,,,,,,Archaeological Assessment (Image Interpretation),,,,,,,,,,,,'A1',General Description,,,2265,Bayan-Ulgii,Ulaankhus,Ix ojgor,
L4-010,POINT (88.71128026 49.35914929),,L4,L4-010,MAPSS RS Number,2021-12-07,Funerary,Low,Burial,Low,,,,,Mound,,,,,,Archaeological Assessment (Image Interpretation),Google Earth,"Google Earth, Bing",,,,,,,,,,,,,,2271,Bayan-Ulgii,Bajannuur,Bor burgas,
L4-011,POINT (88.7108968 49.36756876),,L4,L4-011,MAPSS RS Number,2021-12-07,Funerary,Low,Burial,Low,,,,,Mound,,7,,,,Archaeological Assessment (Image Interpretation),Bing,"Bing, Google Earth",,,,,,,,,,,,,,2307,Bayan-Ulgii,Bajannuur,Bor burgas,
