ResourceID,Geometric Place Expression,Remote Sensing Assessor,Grid Square,Remote Sensing Object Name,Name Type,Remote Sensing Place Type,Assessment Date,Heritage Place Function Certainty,Heritage Place Function Sub-type,Remote Sensing Interpretation Type,Remote Sensing Interpretation Sub-type,Site Feature Interpretation Certainty,Site Feature Form Type,Site Feature Shape Type,Diameter,Length,Width,Central Mound Diameter,Archaeological Assessment Activity Type,Assessment Source,Overall Condition Assessment,Disturbance Cause Category,Disturbance Cause Type,Disturbance Cause Certainty,Damage Effect,Damage Effect Certainty,Threat Driver Type,Threat Type,Threat Probability,Remark,Remark Type,Cultural Period Type,30m SRTN Elevation,Aimag,Soum,Bag,Heritage Place Function Type
M13-014,POINT (91.23664082 48.95261947),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-014,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Khirigsuur,Circle Khirigsuur,Definite,,Circular,25,,,11,Archaeological Assessment (Image Interpretation),Maxar,Fair,,,,,,Environmental (Natural),Vegetation/Crops/Trees,High,,,Bronze Age,1326,Khovd,,,Funerary
M13-015,POINT (91.23764598 48.95261198),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-015,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Khirigsuur,Circle Khirigsuur,Definite,,Circular,18,,,7,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,Infrastructure/Transport,Road/Track,High,,,Bronze Age,1330,Khovd,,,Funerary
M13-016,POINT (91.23352617 48.95285501),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-016,MAPSS RS Number,Site Feature,2022-05-02,Definite,Burial,Khirigsuur,Circle Khirigsuur,High,,Circular,12,,,5,Archaeological Assessment (Image Interpretation),Maxar,Poor,,,,,,,,,,,Bronze Age,1333,Khovd,,,Funerary
M13-017,POINT (91.22815784 48.9524292),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-017,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Khirigsuur,Circle Khirigsuur,High,,Circular,21,,,7,Archaeological Assessment (Image Interpretation),Maxar,Fair,,,,,,Environmental (Natural),Flooding,High,,,Bronze Age,1329,Khovd,,,Funerary
M13-018,POINT (91.22659632 48.95333514),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-018,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A0, with yurtas""",General Description,,1330,Khovd,,,Architectural/Settlement
M13-019,POINT (91.2239379 48.95432107),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-019,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A0, with yurtas""",General Description,,1329,Khovd,,,Architectural/Settlement
M13-020,POINT (91.22192625 48.95625142),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-020,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A0, with yurtas""",General Description,,1328,Khovd,,,Architectural/Settlement
M13-021,POINT (91.21613267 48.95920492),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-021,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A0, with yurtas""",General Description,,1329,Khovd,,,Architectural/Settlement
M13-022,POINT (91.20901141 48.96058034),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-022,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A0, with yurtas""",General Description,,1332,Khovd,,,Architectural/Settlement
M13-023,POINT (91.21696183 48.95294959),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-023,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A2""",General Description,,1324,Khovd,,,Architectural/Settlement
M13-024,POINT (91.2268719 48.94863016),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-024,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A0, with yurtas""",General Description,,1328,Khovd,,,Architectural/Settlement
M13-025,POINT (91.22681161 48.94710612),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-025,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A2""",General Description,,1324,Khovd,,,Architectural/Settlement
M13-026,POINT (91.21322424 48.94142083),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-026,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A0, with yurtas""",General Description,,1325,Khovd,,,Architectural/Settlement
M13-027,POINT (91.21097655 48.9436406),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-027,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A0, with yurtas""",General Description,,1325,Khovd,,,Architectural/Settlement
M13-028,POINT (91.21073524 48.94727799),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-028,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A2""",General Description,,1325,Khovd,,,Architectural/Settlement
M13-029,POINT (91.20536009 48.95056405),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-029,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A2""",General Description,,1327,Khovd,,,Architectural/Settlement
M13-030,POINT (91.20868335 48.95242938),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-030,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A2""",General Description,,1325,Khovd,,,Architectural/Settlement
M13-031,POINT (91.20799181 48.93784452),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-031,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1325,Khovd,,,Architectural/Settlement
M13-032,POINT (91.23925554 48.99166932),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-032,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A0""",General Description,,1372,Khovd,,,Architectural/Settlement
M13-033,POINT (91.21227105 48.98710747),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-033,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1349,Khovd,,,Architectural/Settlement
M13-034,POINT (91.19775452 48.9964412),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-034,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1361,Khovd,,,Architectural/Settlement
M13-035,POINT (91.18182337 48.9912007),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-035,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1342,Khovd,,,Architectural/Settlement
M13-036,POINT (91.15777976 49.00199546),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-036,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,Medium,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1411,Khovd,,,Architectural/Settlement
M13-037,POINT (91.20336911 48.9563865),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-037,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A2""",General Description,,1327,Khovd,,,Architectural/Settlement
M13-038,POINT (91.19519374 48.95850346),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-038,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1329,Khovd,,,Architectural/Settlement
M13-039,POINT (91.18964123 48.95692805),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-039,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1327,Khovd,,,Architectural/Settlement
M13-040,POINT (91.18698511 48.95574819),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-040,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1329,Khovd,,,Architectural/Settlement
M13-041,POINT (91.2176731 48.94219057),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-041,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1323,Khovd,,,Architectural/Settlement
M13-042,POINT (91.21447021 48.92368934),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-042,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1320,Khovd,,,Architectural/Settlement
M13-043,POINT (91.22323567 48.92226179),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-043,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1322,Khovd,,,Architectural/Settlement
M13-044,POINT (91.21839228 48.92258977),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-044,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1320,Khovd,,,Architectural/Settlement
M13-045,POINT (91.2093579 48.92928925),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-045,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Summer Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Bing,,,,,,,,,,"""A1""",General Description,,1322,Khovd,,,Architectural/Settlement
M13-046,POINT (91.08982754 48.87198037),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-046,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1539,Khovd,,,Architectural/Settlement
M13-047,POINT (91.10892628 48.8837679),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-047,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1507,Khovd,,,Architectural/Settlement
M13-048,POINT (91.08937364 48.88049944),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-048,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1559,Khovd,,,Architectural/Settlement
M13-049,POINT (91.08364381 48.88800488),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-049,MAPSS RS Number,Site Feature,2022-05-02,High,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1529,Khovd,,,Architectural/Settlement
M13-050,POINT (91.05905805 48.8739701),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-050,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1663,Khovd,,,Architectural/Settlement
M13-051,POINT (91.09808547 48.89992954),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-051,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1479,Khovd,,,Architectural/Settlement
M13-052,POINT (91.0937401 48.8943614),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-052,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1503,Khovd,,,Architectural/Settlement
M13-053,POINT (91.21049855 48.87469375),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-053,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A1""",General Description,,1449,Khovd,,,Architectural/Settlement
M13-054,POINT (91.21789514 48.87640772),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-054,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1424,Khovd,,,Architectural/Settlement
M13-055,POINT (91.21577619 48.87531752),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-055,MAPSS RS Number,Site Feature,2022-05-02,Definite,Settlement/Habitation,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1424,Khovd,,,Architectural/Settlement
M13-056,POINT (91.22426457 48.88199066),"[{'resourceId': '84e8628e-c153-4a10-877a-e8498c64f9e5', 'ontologyProperty': '', 'resourceXresourceId': '', 'inverseOntologyProperty': ''}]""",M13,M13-056,MAPSS RS Number,Site Feature,2022-05-02,Definite,,Campsite,Winter Camp,High,,,,,,,Archaeological Assessment (Image Interpretation),Maxar,,,,,,,,,,"""A0""",General Description,,1379,Khovd,,,Architectural/Settlement
